tool,frame,gt_yaw,flip_trap,n_pts,err_raw,err_pose,err_smooth,signed_raw,signed_smooth
screwdriver_cyl,75,37.5,0,866,0.1048,1.6232,0.1048,179.9,179.9
screwdriver_cyl,76,38.0,0,866,0.0378,1.6117,0.0378,179.96,179.96
screwdriver_cyl,77,38.5,0,866,0.0454,1.5998,0.0454,179.95,179.95
screwdriver_cyl,78,39.0,0,866,0.0803,1.5874,0.0803,179.92,179.92
screwdriver_cyl,79,39.5,0,866,0.0934,1.5805,0.0934,179.91,179.91
screwdriver_cyl,80,40.0,0,866,0.0807,1.5763,0.0807,179.92,179.92
screwdriver_cyl,81,40.5,0,866,0.1355,1.5875,0.1355,179.86,179.86
screwdriver_cyl,82,41.0,0,866,0.0869,1.579,0.0869,179.91,179.91
screwdriver_cyl,83,41.5,0,866,0.0949,1.5644,0.0949,179.91,179.91
screwdriver_cyl,84,42.0,0,866,0.0608,1.5603,0.0608,179.94,179.94
screwdriver_cyl,85,42.5,0,866,0.058,1.5665,0.058,179.94,179.94
screwdriver_cyl,86,43.0,0,866,0.0626,1.558,0.0626,179.94,179.94
screwdriver_cyl,87,43.5,0,866,0.078,1.5681,0.078,179.92,179.92
screwdriver_cyl,88,44.0,0,866,0.0274,1.5531,0.0274,179.97,179.97
screwdriver_cyl,89,44.5,0,866,0.0602,1.5558,0.0602,179.94,179.94
screwdriver_cyl,90,75.0,0,866,0.0693,24.0708,0.0693,179.93,179.93
screwdriver_cyl,91,75.5,0,866,0.0899,18.4651,0.0899,179.91,179.91
screwdriver_cyl,92,76.0,0,866,0.0367,14.2378,0.0367,179.96,179.96
screwdriver_cyl,93,76.5,0,866,0.0578,11.0718,0.0578,179.94,179.94
screwdriver_cyl,94,77.0,0,866,0.0642,8.7008,0.0642,179.94,179.94
screwdriver_cyl,95,77.5,0,866,0.0149,6.9108,0.0149,179.99,179.99
screwdriver_cyl,96,78.0,0,866,0.0818,5.5775,0.0818,179.92,179.92
screwdriver_cyl,97,78.5,0,866,0.0117,4.5523,0.0117,179.99,179.99
screwdriver_cyl,98,79.0,0,866,0.0163,3.7876,0.0163,179.98,179.98
screwdriver_cyl,99,79.5,0,866,0.1125,3.2413,0.1125,179.89,179.89
screwdriver_cyl,100,80.0,0,866,0.1018,2.8304,0.1018,179.9,179.9
screwdriver_cyl,101,80.5,0,866,0.0515,2.5002,0.0515,179.95,179.95
screwdriver_cyl,102,81.0,0,866,0.0918,2.2856,0.0918,179.91,179.91
screwdriver_cyl,103,81.5,0,866,0.0261,2.1053,0.0261,179.97,179.97
screwdriver_cyl,104,82.0,0,866,0.0758,1.9701,0.0758,179.92,179.92
screwdriver_cyl,105,82.5,0,866,0.0497,1.8625,0.0497,179.95,179.95
screwdriver_cyl,106,83.0,0,866,0.1403,1.8078,0.1403,179.86,179.86
screwdriver_cyl,107,83.5,0,866,0.1343,1.764,0.1343,179.87,179.87
screwdriver_cyl,108,84.0,0,866,0.1147,1.7229,0.1147,179.89,179.89
screwdriver_cyl,109,84.5,0,866,0.0937,1.6895,0.0937,179.91,179.91
screwdriver_cyl,110,85.0,0,866,0.0748,1.6624,0.0748,179.93,179.93
screwdriver_cyl,111,85.5,0,866,0.0783,1.6398,0.0783,179.92,179.92
screwdriver_cyl,112,86.0,0,866,0.0873,1.6251,0.0873,179.91,179.91
screwdriver_cyl,113,86.5,0,866,0.0651,1.6029,0.0651,179.93,179.93
screwdriver_cyl,114,87.0,0,866,0.0762,1.5971,0.0762,179.92,179.92
screwdriver_cyl,115,87.5,0,866,0.105,1.6114,0.105,179.89,179.89
screwdriver_cyl,116,88.0,0,866,0.079,1.5986,0.079,179.92,179.92
screwdriver_cyl,117,88.5,0,866,0.0607,1.5904,0.0607,179.94,179.94
screwdriver_cyl,118,89.0,0,866,0.0568,1.5836,0.0568,179.94,179.94
